ts,signal,webhook_dev,webhook,ok
2025-09-18T18:38:04+09:00,81,81,81,0
2025-09-18T18:39:26+09:00,81,81,81,0
2025-09-18T18:45:08+09:00,81,81,81,0
2025-09-18T18:45:18+09:00,81,81,81,0
2025-09-18T18:50:18+09:00,81,81,81,0
2025-09-18T18:52:11+09:00,81,81,81,0
2025-09-18T18:57:11+09:00,81,81,81,0
2025-09-18T19:02:11+09:00,81,81,81,0
2025-09-18T19:06:54+09:00,81,81,81,0
2025-09-18T19:11:55+09:00,81,81,81,0
2025-09-18T19:16:56+09:00,81,81,81,0
2025-09-18T19:21:34+09:00,81,81,81,0
2025-09-18T19:26:35+09:00,81,81,81,0
2025-09-18T19:31:36+09:00,81,81,81,0
2025-09-18T19:36:36+09:00,81,81,81,0
2025-09-18T19:41:36+09:00,81,81,81,0
2025-09-18T19:46:37+09:00,81,81,81,0
2025-09-18T19:51:37+09:00,81,81,81,0
2025-09-18T19:56:39+09:00,81,81,81,0
2025-09-18T20:01:40+09:00,81,81,81,0
2025-09-18T20:06:41+09:00,81,81,81,0
2025-09-18T20:11:41+09:00,81,81,81,0
2025-09-18T20:16:42+09:00,81,81,81,0
2025-09-18T20:21:42+09:00,81,81,81,0
2025-09-18T20:23:31+09:00,81,81,81,0
2025-09-18T20:28:32+09:00,81,81,81,0
2025-09-18T20:32:37+09:00,81,81,81,0
2025-09-18T20:37:37+09:00,81,81,81,0
2025-09-18T20:41:24+09:00,81,81,81,0
2025-09-18T20:46:24+09:00,81,81,81,0
2025-09-18T20:51:25+09:00,81,81,81,0
2025-09-18T20:52:04+09:00,81,81,81,0
2025-09-18T20:57:04+09:00,81,81,81,0
2025-09-18T21:02:04+09:00,81,81,81,0
2025-09-18T21:02:10+09:00,81,81,81,0
2025-09-18T21:07:10+09:00,81,81,81,0
2025-09-18T21:12:11+09:00,81,81,81,0
2025-09-18T21:17:11+09:00,81,81,81,0
2025-09-18T21:22:12+09:00,81,81,81,0
2025-09-18T21:27:12+09:00,81,81,81,0
2025-09-18T21:32:13+09:00,81,81,81,0
2025-09-18T21:37:13+09:00,81,81,81,0
2025-09-18T21:37:20+09:00,81,81,81,0
2025-09-18T21:37:49+09:00,81,81,81,0
2025-09-18T21:38:51+09:00,81,81,81,0
2025-09-18T21:43:52+09:00,81,81,81,0
2025-09-18T21:48:52+09:00,81,81,81,0
2025-09-18T21:53:53+09:00,81,81,81,0
2025-09-18T21:58:53+09:00,81,81,81,0
2025-09-18T22:03:54+09:00,81,81,81,0
2025-09-18T22:08:55+09:00,81,81,81,0
2025-09-18T22:13:56+09:00,81,81,81,0
2025-09-18T22:18:56+09:00,81,81,81,0
2025-09-18T22:20:55+09:00,81,81,81,0
2025-09-18T22:21:39+09:00,81,81,81,0
2025-09-18T22:22:08+09:00,81,81,81,0
2025-09-18T22:22:20+09:00,81,81,81,0
2025-09-18T22:27:20+09:00,81,81,81,0
2025-09-18T22:31:09+09:00,81,81,81,0
2025-09-18T22:36:10+09:00,81,81,81,0
2025-09-18T22:41:11+09:00,81,81,81,0
2025-09-18T22:46:11+09:00,81,81,81,0
2025-09-18T22:51:12+09:00,81,81,81,0
2025-09-18T22:54:49+09:00,81,81,81,0
2025-09-18T22:59:50+09:00,81,81,81,0
2025-09-18T23:03:07+09:00,81,81,81,0
2025-09-18T23:03:19+09:00,81,81,81,0
2025-09-18T23:08:20+09:00,81,81,81,0
2025-09-18T23:13:20+09:00,81,81,81,0
2025-09-18T23:14:34+09:00,81,81,81,0
2025-09-18T23:15:35+09:00,81,81,81,0
2025-09-18T23:20:36+09:00,81,81,81,0
2025-09-18T23:24:59+09:00,81,81,81,0
2025-09-18T23:30:00+09:00,81,81,81,0
2025-09-18T23:51:23+09:00,81,81,81,0
2025-09-18T23:52:11+09:00,81,81,81,0
